#{"t_start": 1777964840.404338, "env_id": "None"}
r,l,t
2088.700368,500,8.724054
409.502051,186,9.540431
936.916894,385,12.071931
1780.274487,500,14.861883
1051.976586,500,20.894994
1660.820311,500,23.748139
749.545126,231,24.995557
1939.115138,500,27.879256
745.278201,254,29.229566
1564.070921,500,32.091168
2058.163072,500,38.130655
2135.583472,500,40.89302
2036.37977,500,44.052123
1865.520522,500,46.537466
1075.113176,374,49.359186
1729.039607,458,51.017039
1569.169307,500,52.816303
1778.798379,500,54.621953
2008.173456,500,58.401526
1932.723554,500,60.233562
1964.391882,500,61.983255
2047.449338,500,63.740425
1789.866062,500,67.295952
1880.525675,500,68.919199
1974.163635,500,70.770374
1219.243791,329,71.812438
1687.168557,500,73.569802
282.95874,104,75.591505
548.029114,208,76.342664
1291.807687,418,77.829517
1237.998146,500,80.098437
2002.430026,500,81.616928
733.221803,249,82.515078
1685.085164,500,85.887594
1480.484296,500,87.335009
275.334167,120,87.762579
1592.364726,500,89.22262
2038.204491,500,90.888881
1811.087327,500,94.872507
2039.126092,500,96.723538
1393.495671,500,98.233182
1473.871905,500,99.649868
2070.013499,500,102.935355
1762.481262,500,104.761066
959.922325,329,105.850939
1502.936263,500,107.29786
1014.176752,315,108.487385
1808.109312,500,111.52746
1912.142033,500,113.203745
779.50368,294,114.284087
899.312069,268,115.076715
1744.768883,500,116.858558
1555.344186,500,120.287042
1938.018669,500,121.894985
903.866858,348,123.037095
1895.458296,500,124.84035
203.399475,85,125.050675
351.272698,117,125.381276
1610.403349,500,134.638081
940.74162,308,135.490405
892.77336,241,136.319573
1593.358481,500,137.950443
467.762545,163,138.514852
1927.341429,500,141.768701
1411.352935,500,143.279742
1685.549912,485,144.920663
501.861386,171,145.407291
748.290287,261,146.367796
384.599063,136,146.801135
824.269613,237,147.505147
2097.607644,500,150.927084
2107.390681,500,152.642604
1710.927745,500,154.444661
1274.626334,500,156.103115
1667.182051,500,159.289546
473.902807,232,160.071693
1961.390631,500,161.668714
886.764302,274,162.603839
1978.273354,500,164.557132
1483.80304,458,167.74027
1995.031425,500,169.624494
1793.414368,462,171.250198
654.469877,295,172.174673
1064.054143,355,173.249734
1942.94882,500,176.721847
501.711733,354,177.825817
2167.83095,500,179.592921
1035.577476,316,180.670669
2125.448725,500,182.455304
919.186448,356,185.208526
796.939585,500,186.76765
1666.637953,500,188.46681
2041.293851,500,190.20124
1733.548752,500,193.60061
1827.506418,500,195.273628
518.788365,171,195.86763
1851.805733,500,197.505855
1472.178695,500,199.133437
2010.09143,500,202.62305
552.709684,180,203.086776
1701.921582,500,204.840367
1807.373784,500,206.570888
468.667197,239,207.218045
1776.485212,500,210.714328
527.138504,238,211.329304
1666.03625,500,213.173781
1072.090295,377,214.48127
2198.610635,500,215.968432
121.24871,87,216.275411
2083.530369,500,219.45848
1902.861779,500,221.261781
2149.787582,500,222.960821
2012.350789,500,224.823008
1707.425711,500,228.259099
751.190063,221,228.901842
807.976017,248,229.748853
1758.951872,500,231.241449
1620.259275,500,232.951982
1645.520955,456,236.189631
1785.435582,500,237.794144
310.733567,114,243.456575
2110.527086,500,245.235571
1915.612056,500,246.995585
717.134211,207,249.306563
1376.653999,500,250.871996
1949.557127,500,252.630934
1284.706485,500,254.378789
720.338953,193,254.908835
134.602098,97,255.222367
804.426502,258,257.71879
1096.532469,371,258.890481
1518.754813,500,260.643655
1842.978754,500,262.329747
500.938838,224,262.911369
2128.395246,500,266.299809
586.058727,215,266.988421
2092.429382,500,268.759728
581.876615,201,269.361398
1910.307527,500,270.926214
1093.766867,500,272.615246
447.696801,183,274.897685
1922.370758,500,276.57922
1883.61505,500,278.190234
1194.523559,426,279.426641
639.624439,288,280.393479
401.881334,185,280.85046
1486.905754,500,284.205796
1461.322024,483,285.699146
1339.230206,500,287.189385
671.023719,483,288.685141
